mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
37.163463513056435,0.10319996611166146,1.5434199174245198,0.0548424409798889,0.7125779372456224,0.04950891594495588,6,509,0.03131329245555858,2.1845695491899972,0.7799016533479063,"{'colsample_bytree': np.float64(0.7125779372456224), 'learning_rate': np.float64(0.04950891594495588), 'max_depth': 6, 'n_estimators': 509, 'reg_alpha': np.float64(0.03131329245555858), 'reg_lambda': np.float64(2.1845695491899972), 'subsample': np.float64(0.7799016533479063)}",-5.08627162750081,-4.9590481094670915,-4.939661080359246,-4.994993605775716,0.06502677480311345,1,-3.93006538023395,-3.9870128535833667,-3.9862217830389115,-3.9677666722854092,0.02666079537340239
37.548628091812134,0.8909312287589921,1.464309851328532,0.044212205308539164,0.9162213204002109,0.05034443102887247,6,476,0.6174815096277165,1.7233063209765618,0.6028265220878869,"{'colsample_bytree': np.float64(0.9162213204002109), 'learning_rate': np.float64(0.05034443102887247), 'max_depth': 6, 'n_estimators': 476, 'reg_alpha': np.float64(0.6174815096277165), 'reg_lambda': np.float64(1.7233063209765618), 'subsample': np.float64(0.6028265220878869)}",-5.085712268015635,-4.98240134398483,-4.960432573996104,-5.00951539533219,0.05462068758725784,2,-3.9500392042302312,-4.024768275978185,-3.997144120559624,-3.990650533589347,0.030851618486805784
29.83422581354777,0.18890556463420669,0.9915978113810221,0.08734166323023886,0.9143687545759647,0.07778313207178196,6,387,0.5426960831582485,0.7818484499495253,0.9208787923016158,"{'colsample_bytree': np.float64(0.9143687545759647), 'learning_rate': np.float64(0.07778313207178196), 'max_depth': 6, 'n_estimators': 387, 'reg_alpha': np.float64(0.5426960831582485), 'reg_lambda': np.float64(0.7818484499495253), 'subsample': np.float64(0.9208787923016158)}",-5.112352311181471,-4.978302963693678,-4.955944101003815,-5.015533125292989,0.06906733792600545,3,-3.7096300181400412,-3.775686981278831,-3.7580326650526086,-3.7477832214904936,0.027924528223762846
22.60642687479655,0.05856060670643209,1.0694059530893962,0.006747810663444739,0.8416317594127292,0.12589936497869797,5,405,0.3910606075732408,0.8644721755761247,0.902144564127061,"{'colsample_bytree': np.float64(0.8416317594127292), 'learning_rate': np.float64(0.12589936497869797), 'max_depth': 5, 'n_estimators': 405, 'reg_alpha': np.float64(0.3910606075732408), 'reg_lambda': np.float64(0.8644721755761247), 'subsample': np.float64(0.902144564127061)}",-5.135600807595478,-5.030360290612068,-4.991221581586208,-5.052394226597918,0.060966990943353144,4,-3.8641901547623574,-3.925757514655272,-3.910041707659874,-3.8999964590258345,0.02611915282107078
19.73358702659607,0.839402498135329,0.41864554087320965,0.03805714296174045,0.8645035840204937,0.1565413658703297,7,430,0.6510770255019445,2.3299193510875615,0.9400154311159197,"{'colsample_bytree': np.float64(0.8645035840204937), 'learning_rate': np.float64(0.1565413658703297), 'max_depth': 7, 'n_estimators': 430, 'reg_alpha': np.float64(0.6510770255019445), 'reg_lambda': np.float64(2.3299193510875615), 'subsample': np.float64(0.9400154311159197)}",-5.139590350573005,-5.025208376774707,-5.003785525798321,-5.056194751048678,0.059614618738503176,5,-2.4461905725805733,-2.5292138191443723,-2.498917650247013,-2.4914406806573193,0.03430397132677442
21.26656699180603,0.45362017527466697,0.7851382891337076,0.037211196312119985,0.5115312125207079,0.10970718544909393,4,387,0.3663618432936917,1.4121399684340719,0.9140703845572055,"{'colsample_bytree': np.float64(0.5115312125207079), 'learning_rate': np.float64(0.10970718544909393), 'max_depth': 4, 'n_estimators': 387, 'reg_alpha': np.float64(0.3663618432936917), 'reg_lambda': np.float64(1.4121399684340719), 'subsample': np.float64(0.9140703845572055)}",-5.1780576848284126,-5.0544672569696685,-5.03840797977275,-5.090310973856944,0.06239171451806039,6,-4.482831303948644,-4.564010204628264,-4.558037667004793,-4.5349597251939,0.03694091703931315
35.81424721082052,0.36702559037663207,1.736467679341634,0.01581814114987304,0.5290418060840998,0.1745734676972377,6,559,0.7080725777960455,0.5411689885916049,0.9879639408647978,"{'colsample_bytree': np.float64(0.5290418060840998), 'learning_rate': np.float64(0.1745734676972377), 'max_depth': 6, 'n_estimators': 559, 'reg_alpha': np.float64(0.7080725777960455), 'reg_lambda': np.float64(0.5411689885916049), 'subsample': np.float64(0.9879639408647978)}",-5.212178015777744,-5.072737882027041,-5.053363851107397,-5.112759916304061,0.07074276003351039,7,-2.7091822158224037,-2.759583675564831,-2.7489707363643334,-2.739245542583856,0.021695027565362436
23.832232236862183,0.05975870564199356,0.8058959643046061,0.013370989075819581,0.5066324805799333,0.18901833358012204,4,464,0.015966252220214194,0.961787651244298,0.6964101864104046,"{'colsample_bytree': np.float64(0.5066324805799333), 'learning_rate': np.float64(0.18901833358012204), 'max_depth': 4, 'n_estimators': 464, 'reg_alpha': np.float64(0.015966252220214194), 'reg_lambda': np.float64(0.961787651244298), 'subsample': np.float64(0.6964101864104046)}",-5.179582870245153,-5.101721471814163,-5.065811660686183,-5.1157053342485,0.047487776234624184,8,-4.166459512833389,-4.225591991809291,-4.198856326215525,-4.196969276952735,0.0241775823667164
15.875913461049398,0.9746090730256333,0.9116918245951334,0.38380959875538245,0.6872700594236812,0.19063571821788408,5,271,0.5986584841970366,0.812037280884873,0.662397808134481,"{'colsample_bytree': np.float64(0.6872700594236812), 'learning_rate': np.float64(0.19063571821788408), 'max_depth': 5, 'n_estimators': 271, 'reg_alpha': np.float64(0.5986584841970366), 'reg_lambda': np.float64(0.812037280884873), 'subsample': np.float64(0.662397808134481)}",-5.202968071815693,-5.092371626518904,-5.062554700488857,-5.119298132941151,0.06040284912111627,9,-3.938568754362811,-4.023870607279495,-3.9971637973196805,-3.986534386320662,0.03562620581720175
28.311745484670002,0.46735436629052796,1.4314243793487549,0.042472190624478,0.6975751180009072,0.1860651845008209,6,389,0.32533033076326434,1.277354579378964,0.7085396127095583,"{'colsample_bytree': np.float64(0.6975751180009072), 'learning_rate': np.float64(0.1860651845008209), 'max_depth': 6, 'n_estimators': 389, 'reg_alpha': np.float64(0.32533033076326434), 'reg_lambda': np.float64(1.277354579378964), 'subsample': np.float64(0.7085396127095583)}",-5.22412091398546,-5.091081438516903,-5.058813292209126,-5.124671881570496,0.07154434919563012,10,-3.080216563145283,-3.1392607030014674,-3.112818027194662,-3.1107650977804706,0.024148340208302897
